ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
dgmp,,dgmp,dgmp.dgmp_1.Heavy,677.1095556,,356.0356,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dgmp,,dgmp,dgmp.dgmp_1.Light,675.2714688,,346.002,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dgmp,,dgmp,dgmp.dgmp_2.Light,675.2714688,,346.002,Unit,133,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dtmp,,dtmp,dtmp.dtmp_1.Heavy,679.6963764,,331.002,Unit,200,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dtmp,,dtmp,dtmp.dtmp_1.Light,680.0540868,,321,Unit,195,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ribflv,,ribflv,ribflv.ribflv_1.Heavy,684.8915694,,392,Unit,268,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ribflv,,ribflv,ribflv.ribflv_1.Light,685.2531744,,375,Unit,255,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
amp,,amp,amp.amp_1.Heavy,702.3529758,,356,Unit,139,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
amp,,amp,amp.amp_1.Light,702.6187254,,346,Unit,134,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
amp,,amp,amp.amp_2.Light,702.6187254,,346,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
gmp,,gmp,gmp.gmp_1.Heavy,703.6778052,,372,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
gmp,,gmp,gmp.gmp_1.Light,703.1874996,,362,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
gmp,,gmp,gmp.gmp_2.Light,703.1874996,,362,Unit,97,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
imp,,imp,imp.imp_1.Heavy,701.7627732,,357,Unit,140,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
imp,,imp,imp.imp_1.Light,701.8318392,,347,Unit,135,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
imp,,imp,imp.imp_2.Light,701.8318392,,347,Unit,97,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
camp,,camp,camp.camp_1.Heavy,715.672413,,338,Unit,139,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
camp,,camp,camp.camp_1.Light,715.8127368,,328,Unit,134,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
camp,,camp,camp.camp_2.Light,715.8127368,,328,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
gthox,,gthox,gthox.gthox_1.Heavy,708.1949748,,631,Unit,316,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
gthox,,gthox,gthox.gthox_1.Light,708.195852,,611,Unit,306,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
gthox,,gthox,gthox.gthox_2.Light,708.195852,,611,Unit,272,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
btn,,btn,btn.btn_1.Heavy,721.317474,,253,Unit,43,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
