File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/151.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	50 ug/ml ISO
Injection Number	89
Position	RC8
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	7:30:13 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-1.190596
Signal Max.	37.073029
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.923333	0.200	-0.023372
0.926667	0.200	-0.052190
0.930000	0.200	-0.105951
0.933333	0.200	-0.172948
0.936667	0.200	-0.241432
0.940000	0.200	-0.303051
0.943333	0.200	-0.352306
0.946667	0.200	-0.384707
0.950000	0.200	-0.395895
0.953333	0.200	-0.382001
0.956667	0.200	-0.341234
0.960000	0.200	-0.276410
0.963333	0.200	-0.196740
0.966667	0.200	-0.116987
0.970000	0.200	-0.053706
0.973333	0.200	-0.019781
0.976667	0.200	-0.019549
0.980000	0.200	-0.047523
0.983333	0.200	-0.091875
0.986667	0.200	-0.140293
0.990000	0.200	-0.185112
0.993333	0.200	-0.225569
0.996667	0.200	-0.266119
1.000000	0.200	-0.312431
1.003333	0.200	-0.367989
1.006667	0.200	-0.432417
1.010000	0.200	-0.501546
1.013333	0.200	-0.569171
1.016667	0.200	-0.629681
1.020000	0.200	-0.679939
1.023333	0.200	-0.719532
1.026667	0.200	-0.750271
1.030000	0.200	-0.775318
1.033333	0.200	-0.797394
1.036667	0.200	-0.817272
1.040000	0.200	-0.834122
1.043333	0.200	-0.846983
1.046667	0.200	-0.855745
1.050000	0.200	-0.861043
1.053333	0.200	-0.863466
1.056667	0.200	-0.862833
1.060000	0.200	-0.857321
1.063333	0.200	-0.842493
1.066667	0.200	-0.810835
1.070000	0.200	-0.750631
1.073333	0.200	-0.642399
1.076667	0.200	-0.452628
1.080000	0.200	-0.124987
1.083333	0.200	0.429801
1.086667	0.200	1.340076
1.090000	0.200	2.766247
1.093333	0.200	4.872150
1.096667	0.200	7.772086
1.100000	0.200	11.464273
1.103333	0.200	15.776953
1.106667	0.200	20.358495
1.110000	0.200	24.729501
1.113333	0.200	28.386702
1.116667	0.200	30.922286
1.120000	0.200	32.114352
1.123333	0.200	31.958439
1.126667	0.200	30.637197
1.130000	0.200	28.449229
1.133333	0.200	25.727783
1.136667	0.200	22.775035
1.140000	0.200	19.824434
1.143333	0.200	17.030117
1.146667	0.200	14.475470
1.150000	0.200	12.191538
1.153333	0.200	10.176588
1.156667	0.200	8.411926
1.160000	0.200	6.873233
1.163333	0.200	5.537353
1.166667	0.200	4.384768
1.170000	0.200	3.399079
1.173333	0.200	2.565190
1.176667	0.200	1.867798
1.180000	0.200	1.291167
1.183333	0.200	0.819660
1.186667	0.200	0.438062
1.190000	0.200	0.132341
1.193333	0.200	-0.108270
1.196667	0.200	-0.289584
1.200000	0.200	-0.412897
1.203333	0.200	-0.476755
1.206667	0.200	-0.479153
