File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/846.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	500 ug/ml HIGH ISO
Injection Number	92
Position	RC11
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:05:11 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.923986
Signal Max.	185.985748
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
1.940000	0.200	-0.234390
1.943333	0.200	-0.303668
1.946667	0.200	-0.355393
1.950000	0.200	-0.383740
1.953333	0.200	-0.376481
1.956667	0.200	-0.311452
1.960000	0.200	-0.151603
1.963333	0.200	0.162255
1.966667	0.200	0.721543
1.970000	0.200	1.660912
1.973333	0.200	3.166192
1.976667	0.200	5.476392
1.980000	0.200	8.876938
1.983333	0.200	13.679396
1.986667	0.200	20.184104
1.990000	0.200	28.626473
1.993333	0.200	39.112926
1.996667	0.200	51.558654
2.000000	0.200	65.643297
2.003333	0.200	80.799078
2.006667	0.200	96.240911
2.010000	0.200	111.039806
2.013333	0.200	124.229306
2.016667	0.200	134.925220
2.020000	0.200	142.435146
2.023333	0.200	146.336968
2.026667	0.200	146.514948
2.030000	0.200	143.151689
2.033333	0.200	136.680796
2.036667	0.200	127.712568
2.040000	0.200	116.949703
2.043333	0.200	105.107515
2.046667	0.200	92.848401
2.050000	0.200	80.736303
2.053333	0.200	69.212244
2.056667	0.200	58.587961
2.060000	0.200	49.053030
2.063333	0.200	40.690959
2.066667	0.200	33.500247
2.070000	0.200	27.417306
2.073333	0.200	22.339017
2.076667	0.200	18.142333
2.080000	0.200	14.698885
2.083333	0.200	11.885275
2.086667	0.200	9.590346
2.090000	0.200	7.718520
2.093333	0.200	6.189515
2.096667	0.200	4.937597
2.100000	0.200	3.910786
2.103333	0.200	3.068019
2.106667	0.200	2.375965
2.110000	0.200	1.807969
2.113333	0.200	1.343012
2.116667	0.200	0.963374
2.120000	0.200	0.653508
2.123333	0.200	0.400694
2.126667	0.200	0.195097
2.130000	0.200	0.028700
2.133333	0.200	-0.105548
2.136667	0.200	-0.213695
2.140000	0.200	-0.300765
2.143333	0.200	-0.371315
2.146667	0.200	-0.429403
2.150000	0.200	-0.477965
2.153333	0.200	-0.518894
2.156667	0.200	-0.553413
2.160000	0.200	-0.582345
2.163333	0.200	-0.606627
2.166667	0.200	-0.627336
2.170000	0.200	-0.645014
2.173333	0.200	-0.659858
2.176667	0.200	-0.672727
2.180000	0.200	-0.685018
2.183333	0.200	-0.697569
2.186667	0.200	-0.710243
2.190000	0.200	-0.722309
2.193333	0.200	-0.732773
2.196667	0.200	-0.740624
2.200000	0.200	-0.745610
2.203333	0.200	-0.748820
2.206667	0.200	-0.751702
2.210000	0.200	-0.754949
2.213333	0.200	-0.758369
2.216667	0.200	-0.761059
2.220000	0.200	-0.762030
2.223333	0.200	-0.761180
2.226667	0.200	-0.759358
2.230000	0.200	-0.757404
2.233333	0.200	-0.755381
2.236667	0.200	-0.752638
2.240000	0.200	-0.748111
2.243333	0.200	-0.740502
2.246667	0.200	-0.728220
2.250000	0.200	-0.709023
2.253333	0.200	-0.680382
2.256667	0.200	-0.641182
2.260000	0.200	-0.593744
2.263333	0.200	-0.544995
2.266667	0.200	-0.506095
2.270000	0.200	-0.489759
2.273333	0.200	-0.505186
2.276667	0.200	-0.553203
2.280000	0.200	-0.625228
2.283333	0.200	-0.706709
2.286667	0.200	-0.782733
2.290000	0.200	-0.842818
2.293333	0.200	-0.882613
2.296667	0.200	-0.902893
2.300000	0.200	-0.907818
2.303333	0.200	-0.903040
2.306667	0.200	-0.893752
2.310000	0.200	-0.883336
2.313333	0.200	-0.873306
2.316667	0.200	-0.864284
2.320000	0.200	-0.856531
2.323333	0.200	-0.849983
2.326667	0.200	-0.844497
2.330000	0.200	-0.839781
2.333333	0.200	-0.835190
2.336667	0.200	-0.830093
2.340000	0.200	-0.824314
2.343333	0.200	-0.818116
2.346667	0.200	-0.812067
2.350000	0.200	-0.806817
2.353333	0.200	-0.802615
2.356667	0.200	-0.799301
2.360000	0.200	-0.796799
2.363333	0.200	-0.795032
2.366667	0.200	-0.793399
2.370000	0.200	-0.790979
2.373333	0.200	-0.787441
2.376667	0.200	-0.783565
2.380000	0.200	-0.780681
2.383333	0.200	-0.779634
2.386667	0.200	-0.780499
2.390000	0.200	-0.782978
2.393333	0.200	-0.786421
2.396667	0.200	-0.789596
2.400000	0.200	-0.791322
2.403333	0.200	-0.791713
2.406667	0.200	-0.792152
2.410000	0.200	-0.793679
2.413333	0.200	-0.795994
2.416667	0.200	-0.798396
2.420000	0.200	-0.800981
2.423333	0.200	-0.804192
2.426667	0.200	-0.808040
2.430000	0.200	-0.812369
2.433333	0.200	-0.817052
2.436667	0.200	-0.821865
2.440000	0.200	-0.826526
2.443333	0.200	-0.830649
2.446667	0.200	-0.833977
2.450000	0.200	-0.836795
2.453333	0.200	-0.839356
2.456667	0.200	-0.841332
2.460000	0.200	-0.842435
2.463333	0.200	-0.842677
2.466667	0.200	-0.841924
2.470000	0.200	-0.840249
2.473333	0.200	-0.838406
2.476667	0.200	-0.837083
2.480000	0.200	-0.836157
2.483333	0.200	-0.835375
2.486667	0.200	-0.835088
2.490000	0.200	-0.835734
2.493333	0.200	-0.837188
2.496667	0.200	-0.838848
2.500000	0.200	-0.839883
2.503333	0.200	-0.839505
2.506667	0.200	-0.837320
2.510000	0.200	-0.833474
2.513333	0.200	-0.828758
2.516667	0.200	-0.824503
2.520000	0.200	-0.821836
2.523333	0.200	-0.820979
2.526667	0.200	-0.821350
2.530000	0.200	-0.821906
2.533333	0.200	-0.821450
2.536667	0.200	-0.819037
2.540000	0.200	-0.814263
2.543333	0.200	-0.807391
