File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/952.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20171013_HMP_C61_ISO_P1_GA4
Injection Number	25
Position	GA4
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Unknown
Status	Finished
Injection Date	10/13/2017
Injection Time	7:03:21 PM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.882378
Signal Max.	246.138505
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
1.686667	0.200	0.250417
1.690000	0.200	0.300115
1.693333	0.200	0.354263
1.696667	0.200	0.413259
1.700000	0.200	0.477726
1.703333	0.200	0.547693
1.706667	0.200	0.622736
1.710000	0.200	0.702285
1.713333	0.200	0.785796
1.716667	0.200	0.872963
1.720000	0.200	0.963256
1.723333	0.200	1.055308
1.726667	0.200	1.147065
1.730000	0.200	1.236249
1.733333	0.200	1.321020
1.736667	0.200	1.400317
1.740000	0.200	1.472820
1.743333	0.200	1.535712
1.746667	0.200	1.585377
1.750000	0.200	1.619074
1.753333	0.200	1.635034
1.756667	0.200	1.631619
1.760000	0.200	1.607774
1.763333	0.200	1.563845
1.766667	0.200	1.501226
1.770000	0.200	1.421865
1.773333	0.200	1.328231
1.776667	0.200	1.223393
1.780000	0.200	1.111112
1.783333	0.200	0.995957
1.786667	0.200	0.883348
1.790000	0.200	0.779388
1.793333	0.200	0.690904
1.796667	0.200	0.626372
1.800000	0.200	0.597336
1.803333	0.200	0.618930
1.806667	0.200	0.707904
1.810000	0.200	0.878108
1.813333	0.200	1.135085
